rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수 (JISOO),ME
4,Ditto,NewJeans,NewJeans 'OMG'
5,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
6,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
7,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
8,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
9,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
10,OMG,NewJeans,NewJeans 'OMG'
11,Teddy Bear,STAYC (스테이씨),Teddy Bear
12,I Don't Think That I Like Her,Charlie Puth,CHARLIE
13,심 (心),DK (디셈버),심 (心)
14,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
15,우리들의 블루스,임영웅,IM HERO
16,After LIKE,IVE (아이브),After LIKE
17,건물 사이에 피어난 장미,H1-KEY (하이키),H1-KEY 1st Mini Album (Rose Blossom)
18,F*ck My Life,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
19,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
20,다시 만날 수 있을까,임영웅,IM HERO
21,London Boy,임영웅,Polaroid
22,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
23,LOVE DIVE,IVE (아이브),LOVE DIVE
24,Polaroid,임영웅,Polaroid
25,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
26,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
27,Cupid,FIFTY FIFTY,The Beginning : Cupid
28,Shut Down,BLACKPINK,BORN PINK
29,무지개,임영웅,IM HERO
30,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
31,아버지,임영웅,IM HERO
32,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
33,NIGHT DANCER,imase,NIGHT DANCER
34,A bientot,임영웅,IM HERO
35,헤어지자 말해요,박재정,1집 Alone
36,The Drum,Alan Walker,"Walkerverse, Pt. I"
37,That's Hilarious,Charlie Puth,CHARLIE
38,손이 참 곱던 그대,임영웅,IM HERO
39,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
40,먼지,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
41,사랑해 진짜,임영웅,IM HERO
42,연애편지,임영웅,IM HERO
43,Pink Venom,BLACKPINK,BORN PINK
44,인생찬가,임영웅,IM HERO
45,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
46,새삥 (Prod. by ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
47,취중고백,김민석 (멜로망스),취중고백
48,나의 마음에 (Seed),태양,Down to Earth
49,Stay,The Kid LAROI & Justin Bieber,Stay
50,보금자리,임영웅,IM HERO
51,Fire,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
52,FRIEND THE END,볼빨간사춘기,사랑.zip
53,I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
54,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
55,April shower,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
56,사랑하기 싫어,지아 (Zia),사랑하기 싫어
57,Nxde,(여자)아이들,I love
58,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면
59,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
60,해요 (2022),#안녕,해요 (2022)
61,빙글빙글 (Prod. by R.Tee),헤이즈 (Heize),빙글빙글
62,Monologue,테이 (Tei),Monologue
63,TOMBOY,(여자)아이들,I NEVER DIE
64,VIBE (Feat. Jimin of BTS),태양,VIBE
